id,name,type,question,ocena,answers/0,answers/1,answers/2,answers/3,correct_answer_index,answers/4
14,Matematyka,Egzaminy Gimnazjalne,"Grupa złożona z i dwóch siedemnastolatków utworzyła Koło Ekologiczne. Średnia wieku członków tego koła jest równa trzynastu dziesięciolatków, jednego dwunastolatka",3,11,12,13,14,0,
15,Matematyka,Egzaminy Gimnazjalne,"W pewnym państwie liczba osób niepełnoletnich jest równa p, pełnoletnich w wieku poniżej 60 lat jest o połowę mniej, a pozostałych dorosłych jest k razy mniej niż osób niepełnoletnich. Liczbie ludności tego państwa odpowiada wyrażenie",1,"1,5 + p/k","(p − 0,5)k","p + 0,5 p/k","1,5p + p/k",3,
16,Matematyka,Egzaminy Gimnazjalne,"W ramach prac renowacyjnych odtworzono na ścianie budowli zegar słoneczny, który powstał w 1533 roku. Pod nowym zegarem zapisano datę tej renowacji - MCMXC. Po ilu latach od powstania tego zegara słonecznego odtworzono go na ścianie budowli? Wybierz właściwą odpowiedź spośród podanych.",1,Po 457 latach.,Po 407 latach.,Po 157 latach.,Po 107 latach.,0,
17,Matematyka,Egzaminy Gimnazjalne,"Samochód na pokonanie pierwszego odcinka trasy zużył 27 litrów benzyny. Na drugim odcinku trasy, mającym długość 150 km, zużył on dwa razy mniej benzyny niż na pierwszym odcinku. Średnie zużycie benzyny na kilometr było na każdym odcinku trasy takie samo. Dokończ zdanie. Wybierz właściwą odpowiedź spośród podanych. Średnie zużycie benzyny przez ten samochód na każde 100 km tej trasy było równe",1,"4,5 litra.",9 litrów.,"13,5 litra.",18 litrów.,1,
18,Matematyka,Egzaminy Gimnazjalne,W czytelni ustawiono 20 stolików dwuosobowych i 10 stolików czteroosobowych. Po pewnym czasie 10% stolików dwuosobowych zastąpiono tą samą liczbą stolików czteroosobowych. Dokończ zdanie. Wybierz właściwą odpowiedź spośród podanych. Liczba stolików czteroosobowych zwiększyła się o,1,2%,5%,10%,20%,3,
19,Matematyka,Egzaminy Gimnazjalne,Dokończ zdanie. Wybierz właściwą odpowiedź spośród podanych. Iloraz √12/(√75 * √3) jest równy,1q,2√3 / 15,2/5,4√3 / 15,4/5,0,
20,Matematyka,Egzaminy Gimnazjalne,"W autobusie jechało m mężczyzn i k kobiet. Na przystanku wysiedli 2 mężczyźni i 3 kobiety, a wsiadło 5 mężczyzn i 2 kobiety. Dokończ zdanie. Wybierz właściwą odpowiedź spośród podanych. Gdy autobus odjechał z tego przystanku, podróżowało nim",3,(m + 3) mężczyzn i (k - 1) kobiet.,(m - 3) mężczyzn i (k - 1) kobiet.,(m + 3) mężczyzn i (k + 1) kobiet.,(m - 3) mężczyzn i (k + 1) kobiet.,0,
21,Matematyka,Egzaminy Gimnazjalne,Dany jest trójkąt prostokątny ABC o przyprostokątnych długości 15 cm i 20 cm. Dokończ zdanie. Wybierz właściwą odpowiedź spośród podanych. Przeciwprostokątna trójkąta DEF podobnego do trójkąta ABC w skali 2:1 ma długość,1,25 cm,30 cm,40 cm,50 cm,3,
22,Matematyka,Egzaminy Gimnazjalne,"Pole podstawy walca jest równe 36π, a pole jego powierzchni bocznej jest 3 razy większe niż pole podstawy.  Dokończ zdanie. Wybierz właściwą odpowiedź spośród podanych. Wysokość tego walca jest równa",1,3,6,9,18,2,
23,Matematyka,Egzaminy Gimnazjalne,"Paweł przejechał na rowerze trasę długości 700 m w czasie 2 min. Dokończ zdanie. Wybierz właściwą odpowiedź spośród podanych. Prędkość średnia, jaką uzyskał Paweł na tej trasie, jest równa",1,"10,5 km/h",14 km/h,21 km/h,35 km/h,2,
24,Matematyka,Egzaminy Gimnazjalne,Dane są cztery wyrażenia: I. 3/4 * (-3) II. 3/4 : (-3) III. 3/4 + (-3) IV. - 3/4 - 3 Dokończ zdanie. Wybierz właściwą odpowiedź spośród podanych. Największą wartość ma wyrażenie,2qq,I,II,III,IV,1,
25,Matematyka,Egzaminy Gimnazjalne,"Dokończ zdanie. Wybierz właściwą odpowiedź spośród podanych. Zaokrąglenie ułamka okresowego 9,2(6) z dokładnością do 0,001 jest równe",1q,"9,262","9,263","9,266","9,267",3,
26,Matematyka,Egzaminy Gimnazjalne,Dane są trzy wyrażenia: I. (2√3)^2 II. 2√2⋅ 4√2 III. 4√18/√2 Wartości których wyrażeń są mniejsze od 15? Wybierz właściwą odpowiedź spośród podanych.,2,Tylko I i II.,Tylko I i III.,Tylko II i III.,"I, II i III.",1,
27,Matematyka,Egzaminy Gimnazjalne,W pewnej szkole do egzaminu gimnazjalnego przystąpiło o 60 chłopców więcej niż dziewcząt. Chłopcy stanowili 65% liczby osób piszących egzamin. Ile dziewcząt przystąpiło do tego egzaminu? Wybierz właściwą odpowiedź spośród podanych.,1,200,130,70,39,2,21
28,Matematyka,Egzaminy Gimnazjalne,"Dane są dwie liczby x i y. Wiadomo, że x≥8 oraz y≤-2. Dokończ zdanie. Wybierz właściwą odpowiedź spośród podanych. Najmniejsza możliwa wartość różnicy x - y jest równa",1,10,6,-6,-10,0,
29,Matematyka,Egzaminy Gimnazjalne,"Uczniowie mieli wyznaczyć zmienną r ze wzoru F =G ⋅ mM/r^2 . W tabeli przedstawiono rezultaty pracy kilkorga z nich. Agata:r = GmM/2F, Bartek:r = √(GmM/F) Czarek:r = mM/2FG  Dorota:r =√(F/GmM) Kto z uczniów poprawnie wyznaczył zmienną r? Wybierz właściwą odpowiedź spośród podanych.",2,Agata,Bartek,Czarek,Dorota,1,
30,Matematyka,Egzaminy Gimnazjalne,"Sprzedawca kupił do swojego sklepu m kilogramów marchwi i b kilogramów buraków: zapłacił po 1,50 zł za kilogram marchwi i po 0,90 zł za kilogram buraków. Warzywa te sprzedał za łączną kwotę 180 złotych. Które wyrażenie przedstawia różnicę kwoty uzyskanej za sprzedane warzywa i kosztu ich zakupu? Wybierz właściwą odpowiedź spośród podanych.",1q,"m · 1,5 + b · 0,9 + 180","m · 1,5 - b · 0,9 - 180","180 - (m · 1,5 + b · 0,9)","180 - (m · 1,5 - b · 0,9)",2,
31,Matematyka,Egzaminy Gimnazjalne,Prostokąt o wymiarach 3√3 cm i 5√3 cm podzielono na 15 jednakowych kwadratów. Dokończ zdanie. Wybierz właściwą odpowiedź spośród podanych. Pole jednego kwadratu jest równe,1,1 cm^2,3 cm^2,45 cm^2,3 cm^2,3,
32,Matematyka,Egzaminy Gimnazjalne,"Do akwarium w kształcie prostopadłościanu o wymiarach 90 cm, 40 cm, 50 cm wlano 40 litrów wody. Ile litrów wody należy jeszcze dolać do akwarium, aby sięgała ona do połowy jego wysokości? Wybierz właściwą odpowiedź spośród podanych.",1,50,70,90,140,0,
33,Matematyka,Egzaminy Gimnazjalne,"Dokończ zdanie. Wybierz właściwą odpowiedź spośród podanych. Na osi liczbowej liczba równa wartości wyrażenia arytmetycznego (1 - 5/6)-0,5 znajduje się między",3,"-1 i −0,5","−0,5 i 0","0 i 0,5","0,5 i 1",1,
34,Matematyka,Egzaminy Gimnazjalne,Poniżej podano kilka kolejnych potęg liczby 7. 71^ = 7 7^2 = 49 7^3 = 343 7^4 = 2401 7^5 = 16 807 7^6 = 117 649 7^7 = 823 543 7^8 = 5 764 801 7^9 = 40 353 607. Dokończ zdanie. Wybierz właściwą odpowiedź spośród podanych. Cyfrą jedności liczby 7^190 jest,1,1,3,7,9,3,
35,Matematyka,Egzaminy Gimnazjalne,"W dodatniej liczbie trzycyfrowej cyfra dziesiątek jest równa 5, a cyfra setek jest o 6 mniejsza od cyfry jedności. Ile jest liczb spełniających te warunki? Wybierz właściwą odpowiedź spośród podanych.",1,Jedna.,Dwie.,Trzy.,Cztery.,2,
36,Matematyka,Egzaminy Gimnazjalne,"Zmieszano dwa gatunki herbaty, droższą i tańszą, w stosunku 2 : 3. Cena jednego kilograma tej herbacianej mieszanki wynosi 110 zł. Gdyby te herbaty zmieszano w stosunku 1 : 4, to cena za 1 kg tej mieszanki wynosiłaby 80 zł. Na podstawie podanych informacji zapisano poniższy układ równań. 2/5x + 3/5y = 110; 1/5x + 4/5y = 80. Co oznacza x w tym układzie równań? Wybierz właściwą odpowiedź spośród podanych.",1,Cenę 1 kg herbaty droższej.,Cenę 1 kg herbaty tańszej.,Cenę 5 kg herbaty droższej.,Cenę 5 kg herbaty tańszej.,0,
37,Matematyka,Egzaminy Gimnazjalne,"Doświadczenie losowe polega na dwukrotnym rzucie monetą. Jeśli wypadnie orzeł, zapisujemy 1, a jeśli reszka - zapisujemy 2. Wynikiem doświadczenia jest zapisana liczba dwucyfrowa. Jakie jest prawdopodobieństwo, że zapisana liczba jest podzielna przez 3? Wybierz właściwą odpowiedź spośród podanych.",1,0,1/4,1/3,1/2,3,
38,Matematyka,Egzaminy Gimnazjalne,"Pięć różnych liczb naturalnych zapisano w kolejności od najmniejszej do największej: 1, a, b, c, 10. Mediana liczb: 1, a, b jest równa 3, a mediana liczb: a, b, c, 10 jest równa 5. Dokończ zdanie. Wybierz właściwą odpowiedź spośród podanych. Liczba c jest równa",1,4,5,6,7,2,
39,Matematyka,Egzaminy Gimnazjalne,"Liczba x jest dodatnia, a liczba y jest ujemna. Ile spośród liczb: x*y, x - y, x/y, (y - x)^2 jest dodatnich? Wybierz właściwą odpowiedź spośród podanych.",1qq,Jedna.,Dwie.,Trzy.,Cztery.,1,
40,Matematyka,Egzaminy Gimnazjalne,"Jeżeli a, b i c są długościami boków trójkąta oraz c jest najdłuższym bokiem, to ten trójkąt jest: prostokątny, gdy a^2 + b^2 = c^2, rozwartokątny, gdy a^2 + b^2 < c^2, ostrokątny, gdy a^2 + b^2 > c^2. Dokończ zdanie. Wybierz właściwą odpowiedź spośród podanych. Z odcinków o długościach: 2√3,3√2,√3",3,nie można zbudować trójkąta.,można zbudować trójkąt prostokątny.,można zbudować trójkąt rozwartokątny.,można zbudować trójkąt ostrokątny.,2,
41,Matematyka,Egzaminy Gimnazjalne,"Szklane naczynie w kształcie prostopadłościanu o wymiarach 6 cm, 15 cm i 18 cm napełniono częściowo wodą i szczelnie zamknięto. Następnie naczynie postawiono na jego ścianie o największej powierzchni i wtedy woda sięgała do wysokości 4 cm. Dokończ zdanie. Wybierz właściwą odpowiedź spośród podanych. Kiedy naczynie postawiono na ścianie o najmniejszej powierzchni, to woda sięgała do wysokości",1,8 cm,10 cm,12 cm,16 cm,2,
42,Matematyka,Egzaminy Gimnazjalne,"Zosia zebrała 2 kg malin i wsypała je do trzech takich samych pojemników. Masa pustego pojemnika była równa 0,05 kg. Pierwszy pojemnik z malinami miał masę 3/4 kg, a masa drugiego pojemnika z malinami była równa 0,70 kg. Ile malin wsypała Zosia do trzeciego pojemnika? Wybierz właściwą odpowiedź spośród podanych.",1q,"0,45 kg","0,55 kg","0,60 kg","0,65 kg",3,
43,Matematyka,Egzaminy Gimnazjalne,Na osi liczbowej zaznaczono dwa punkty S i T. Odcinek ST podzielono na 12 równych części. S T 250 1000 Dokończ zdanie. Wybierz właściwą odpowiedź spośród podanych. Długość odcinka ST jest równa,1,1750,1500,1250,1000,1,
44,Matematyka,Egzaminy Gimnazjalne,"Dane są liczby: I. 0,1(47) II. 0,1552 III. 0,1(5) Dla których liczb zaokrąglenie do części setnych jest równe 0,15? Wybierz właściwą odpowiedź spośród podanych.",1qq,"I, II i III.",Tylko I i II.,Tylko I i III.,Tylko I. E. Tylko III.,3,
45,Matematyka,Egzaminy Gimnazjalne,"Dane są liczby: a=4√3 , b = 3√8 , c = 6√2 , d = 2√6 . Która zależność jest prawdziwa? Wybierz właściwą odpowiedź spośród podanych.",3,a > b,b < c,a > d,c = d,2,
46,Matematyka,Egzaminy Gimnazjalne,Do zbiornika wypełnionego w 65% wodą dolano 12 litrów wody. Teraz woda wypełnia 80% pojemności zbiornika. Ile litrów wody jest teraz w zbiorniku? Wybierz właściwą odpowiedź spośród podanych.,1,52 litry,64 litry,77 litrów,80 litrów,1,
47,Matematyka,Egzaminy Gimnazjalne,"Dane są trzy liczby: a = 10^23 + 1, b = 10^23 − 1, c = 10^23 + 2. Które z tych liczb są podzielne przez 3? Wybierz właściwą odpowiedź spośród podanych.",1,Tylko liczby a i b.,Tylko liczba b.,Tylko liczby b i c.,Tylko liczba c.,2,
48,Matematyka,Egzaminy Gimnazjalne,"Dany jest zestaw liczb: 4, 9, 11, 15, 21. Do podanych liczb dopisano jeszcze jedną liczbę i wtedy średnia arytmetyczna nowego zestawu liczb zwiększyła się o 1. Która liczba została dopisana? Wybierz właściwą odpowiedź spośród podanych.",1,10,12,13,18,3,
49,Matematyka,Egzaminy Gimnazjalne,Ostrosłup i graniastosłup mają takie same podstawy. Obie bryły mają łącznie 25 wierzchołków. Ile wierzchołków ma ostrosłup? Wybierz właściwą odpowiedź spośród podanych.,1,6,8,9,10,2,
50,Matematyka,Egzaminy Gimnazjalne,"Z sześcianu o objętości 27 cm3 usunięto jedną kostkę sześcienną o krawędzi 1 cm. Ściana usuniętej kostki należała do ściany sześcianu, ale żaden z wierzchołków tej kostki nie należał do krawędzi sześcianu. Dokończ zdanie. Wybierz właściwą odpowiedź spośród podanych. Pole powierzchni powstałej bryły jest równe",1,48 cm2,54 cm2,58 cm2,59 cm2,2,
51,Matematyka,Egzaminy Gimnazjalne,"Aby przygotować suchą zaprawę do tynkowania ścian, należy zmieszać piasek, wapno i cement odpowiednio w stosunku 15 : 4 : 1. W którym wierszu tabeli podane są właściwe ilości składników potrzebnych do otrzymania 140 kg takiej zaprawy? (I II III IV) Piasek (kg) (101 109 105 105) Wapno (kg) (32 24 28 56) Cement (kg) (8 7 7 14)",2,I,II,III,IV,2,
52,Matematyka,Egzaminy Gimnazjalne,"Cegła ma kształt prostopadłościanu o wymiarach 24 cm × 12 cm × 6 cm. Jakie są wymiary ścianki cegły, którą ta cegła powinna przylegać do podłoża, aby wywierać na nie jak największe ciśnienie?",1,12 cm × 6 cm,12 cm × 24 cm,24 cm × 6 cm,"Za mało danych, by odpowiedzieć.",0,
53,Matematyka,Egzaminy Gimnazjalne,"Na trójkątnym trawniku zamontowano obrotowy zraszacz. Aby podlać jak największą powierzchnię trawnika, nie oblewając jednocześnie ścieżek, należy ustawić zraszacz w punkcie przecięcia",2,środkowych trójkąta.,symetralnych boków trójkąta.,wysokości trójkąta.,dwusiecznych kątów trójkąta.,3,
54,Matematyka,Egzaminy Gimnazjalne,"Trzy lata temu posadzono przed domem krzew. Co roku podwajał on swoją wysokość i teraz ma 144 cm. Jeśli przez x oznaczymy wysokość krzewu w dniu posadzenia, to informacjom z zadania odpowiada równanie",3,x = 144,4x = 144,6x = 144,8x = 144,3,
55,Matematyka,Egzaminy Gimnazjalne,"Promocja w zakładzie optycznym jest związana z wiekiem klienta i polega na tym, że klient otrzymuje tyle procent zniżki, ile ma lat. Cena okularów bez promocji wynosi 240 zł. Ile zapłaci za te okulary klient, który ma 35 lat? Wybierz odpowiedź spośród podanych.",1,84zł,132zł,156zł,205zł,2,
56,Matematyka,Egzaminy Gimnazjalne,"Promocja w zakładzie optycznym jest związana z wiekiem klienta i polega na tym, że klient otrzymuje tyle procent zniżki, ile ma lat. Okulary bez promocji kosztują 450 zł, a klient zgodnie z obowiązującą promocją może je kupić za 288 zł. Ile lat ma ten klient? Wybierz odpowiedź spośród podanych.",1,64,56,44,36,3,
57,Matematyka,Egzaminy Gimnazjalne,"Dokończ zdanie tak, aby otrzymać zdanie prawdziwe. Liczbą większą od 1/3 jest",3,300/900,300/900−1,300/900+1,300-1/900,1,
58,Matematyka,Egzaminy Gimnazjalne,"Dane są liczby: 3, 3^4, 3^12. Dokończ zdanie tak, aby otrzymać zdanie prawdziwe. Iloczyn tych liczb jest równy",3,3^16,3^17,3^48,3^49,1,
59,Matematyka,Egzaminy Gimnazjalne,"Dokończ zdanie tak, aby otrzymać zdanie prawdziwe. Liczba √120 znajduje się na osi liczbowej między",2,10 i 11,11 i 12,12 i 20,30 i 40,0,
60,Matematyka,Egzaminy Gimnazjalne,"Rozwinięcie dziesiętne ułamka 51/370 jest równe 0,1(378). Dokończ zdanie tak, aby otrzymać zdanie prawdziwe. Na pięćdziesiątym miejscu po przecinku tego rozwinięcia znajduje się cyfra",1qq,1,3,7,8,1,
61,Matematyka,Egzaminy Gimnazjalne,"Prędkość średnia piechura na trasie 10 km wyniosła 5 km/h , a prędkość średnia rowerzysty na tej samej trasie była równa 20 km/h . O ile minut więcej zajęło pokonanie tej trasy piechurowi niż rowerzyście? Wybierz odpowiedź spośród podanych.",1,30 minut,60 minut,90 minut,120 minut,2,
62,Matematyka,Egzaminy Gimnazjalne,Dane są kula o środku w punkcie O i promieniu r oraz walec o promieniu podstawy r i wysokości r. r O r r Na podstawie informacji wybierz zdanie prawdziwe.,3,Objętość kuli jest równa objętości walca.,Objętość kuli jest 2 razy większa od objętości walca.,Objętość walca stanowi 3/4 objętości kuli.,Objętość walca jest 3 razy mniejsza od objętości kuli.,2,
63,Matematyka,Egzaminy Gimnazjalne,"Do zespołu szkół, który składa się ze szkoły podstawowej i gimnazjum, uczęszcza 900 uczniów. Chłopcy stanowią 40% uczniów zespołu. 30% uczniów zespołu uczy się w gimnazjum, natomiast 40% uczniów gimnazjum to dziewczęta. Ilu uczniów uczęszcza do gimnazjum?",1,630,270,360,540,1,
64,Matematyka,Egzaminy Gimnazjalne,"Do zespołu szkół, który składa się ze szkoły podstawowej i gimnazjum, uczęszcza 900 uczniów. Chłopcy stanowią 40% uczniów zespołu. 30% uczniów zespołu uczy się w gimnazjum, natomiast 40% uczniów gimnazjum to dziewczęta. Ile procent uczniów zespołu szkół stanowią chłopcy uczęszczający do gimnazjum?",1,12%,18%,45%,24%,1,
65,Matematyka,Egzaminy Gimnazjalne,"Do zespołu szkół, który składa się ze szkoły podstawowej i gimnazjum, uczęszcza 900 uczniów. Chłopcy stanowią 40% uczniów zespołu. 30% uczniów zespołu uczy się w gimnazjum, natomiast 40% uczniów gimnazjum to dziewczęta. Ile razy więcej dziewcząt niż chłopców uczy się w tym zespole szkół?",1,"0,5","1,5",3,5,1,
66,Matematyka,Egzaminy Gimnazjalne,"Średnia arytmetyczna pięciu ocen cząstkowych Jacka jest równa 3,4. Jaką średnią ocen będzie miał Jacek, gdy otrzyma jeszcze czwórkę?",1q,"4,2","3,7","3,5","3,8",2,
67,Matematyka,Egzaminy Gimnazjalne,W ciągu godziny Ziemia obraca się o 15°. Ile czasu zajmuje Ziemi obrót o 110°?,1,1 godzinę 10 minut,7 godzin 30 minut,4 godziny 40 minut,7 godzin 20 minut,3,
68,Matematyka,Egzaminy Gimnazjalne,Która z narysowanych niżej liter alfabetu greckiego ma tylko jedną oś symetrii?,3,Ω,Θ,Χ,Φ,0,
69,Matematyka,Egzaminy Gimnazjalne,"Hania, płacąc w sklepie za trzy tabliczki czekolady, podała kasjerce 15 zł i otrzymała 0,60 zł reszty. Które z równań odpowiada treści zadania, jeśli cenę tabliczki czekolady oznaczymy przez x?",2,"3x + 0,6 = 15","3x + 15 = 0,6","0,6x + 3 = 15","15x + 0,6 = 3",0,
70,Matematyka,Egzaminy Gimnazjalne,"Na mapie w skali 1 : 300 000 000 odległość pomiędzy Kairem a Delhi wynosi 1,5 cm. Ile wynosi ta odległość w rzeczywistości?",1q,4500 km,2000 km,450 km,200 km,0,
71,Matematyka,Egzaminy Gimnazjalne,Uczestnicy wycieczki rowerowej potrzebują szczegółowej mapy. Najdokładniejsza będzie mapa w skali,3,1:5 000,1:10 000,1:25 000,1:50 000,0,
72,Matematyka,Egzaminy Gimnazjalne,W wycieczce rowerowej uczestniczy 32 uczniów. Chłopców jest o 8 więcej niż dziewcząt. Ilu chłopców jest w tej grupie?,1,12,16,20,24,2,
73,Matematyka,Egzaminy Gimnazjalne,"Wojtek, Marek, Janek i Kuba zorganizowali wyścigi rowerowe. W tabeli podano czasy uzyskane przez chłopców. (Imię chłopca, Uzyskany czas) (Wojtek, Marek, Janek, Kuba) (5 min 42 s, 6 min 5 s, 7 min 8 s, 4 min 40 s) Ile czasu po zwycięzcy przybył na metę ostatni chłopiec?",1,1 min 2 s,2 min 28 s,3 min 8 s,3 min 32 s,1,
74,Matematyka,Egzaminy Gimnazjalne,"Zosia zaoszczędziła 45 zł. Bilet do ogrodu botanicznego kosztuje 10,50 zł. Ile najwięcej biletów może kupić Zosia?",1q,2,3,4,6,2,
75,Matematyka,Egzaminy Gimnazjalne,"Podczas spaceru brat Zosi jedzie czterokołowym rowerkiem. Obwód dużego koła wynosi 80 cm, a małego 40 cm. O ile obrotów więcej wykona małe koło rowerka niż duże na półkilometrowym odcinku drogi?",1,2500,1250,625,400,2,
76,Matematyka,Egzaminy Gimnazjalne,"Podczas trzydniowej pieszej wycieczki uczniowie przeszli 39 km. Drugiego dnia pokonali dwa razy dłuższą trasę niż pierwszego dnia, a trzeciego o 5 km mniej niż pierwszego. Ile km przebyli pierwszego dnia?",1,6,11,22,28,1,
77,Matematyka,Egzaminy Gimnazjalne,"Na lekcji jazdy konnej dzieci dosiadały konia prowadzonego po okręgu na napiętej uwięzi o długości 5 metrów. Jaką drogę pokonał koń, jeżeli łącznie przebył 40 okrążeń? Wynik zaokrąglij do 0,1 km.",1q,"Około 1,3 km",Około 1 km,"Około 0,2 km","Około 12,6 km",0,
78,Matematyka,Egzaminy Gimnazjalne,"W trakcie konkursu każda drużyna otrzymała plastelinę i 120 patyczków tej samej długości. Zadanie polegało na zbudowaniu ze wszystkich patyczków 15 modeli sześcianów i czworościanów. Który układ równań powinna rozwiązać drużyna, aby dowiedzieć się, ile sześcianów i ile czworościanów trzeba zbudować? x - liczba czworościanów, y - liczba sześcianów",2,x+y=15; 12x-6y=120,6y-12x=120; x+y=15,6x+6y=120; x+y=15,x+y=15; 6x+12y=120,3,
79,Matematyka,Egzaminy Gimnazjalne,"W pewnej hurtowni za 120 jednakowych paczek herbaty trzeba zapłacić 1500 zł. Ile takich paczek herbaty można kupić w tej hurtowni za 600 zł, przy tej samej cenie za jedną paczkę? Wybierz odpowiedź spośród podanych.",1,48,50,52,56,0,
80,Matematyka,Egzaminy Gimnazjalne,"Ile spośród liczb: 2/3, 1/2, 10/25, 1/4 spełnia warunek 2/5 < x < 3/5? Wybierz odpowiedź spośród podanych.",1,Jedna liczba.,Dwie liczby.,Trzy liczby.,Cztery liczby.,0,
81,Matematyka,Egzaminy Gimnazjalne,"Dane są liczby: a = (-2)^12, b = (-2)^11, c = 2^10. Dokończ zdanie tak, aby otrzymać zdanie prawdziwe. Liczby te uporządkowane od najmniejszej do największej to:",1qq,"c, b, a.","a, b, c.","c, a, b.","b, c, a.",3,
82,Matematyka,Egzaminy Gimnazjalne,"Ania ma w skarbonce 99 zł w monetach o nominałach 2 zł i 5 zł. Monet dwuzłotowych jest 2 razy więcej niż pięciozłotowych. Dokończ zdanie tak, aby otrzymać zdanie prawdziwe. Jeżeli przez x oznaczymy liczbę monet pięciozłotowych, a przez y - liczbę monet dwuzłotowych, to podane zależności opisuje układ równań",2,y = 2x; 2x+5y=99,y=2x; 5x+2y=99,x=2y; 5x+2y=99,x=2y; 2x+5y=99,1,
83,Matematyka,Egzaminy Gimnazjalne,"Punkt B jest środkiem okręgu. Prosta AC jest styczna do okręgu w punkcie C, |AB| = 20 cm i |AC| = 16 cm. C A B Dokończ zdanie tak, aby otrzymać zdanie prawdziwe. Promień BC okręgu ma długość",1,12 cm,10 cm,4 cm,2 cm,0,
84,Matematyka,Egzaminy Gimnazjalne,"Jeden z kątów wewnętrznych trójkąta ma miarę α, drugi ma miarę o 30° większą niż kąt α, a trzeci ma miarę trzy razy większą niż kąt α. Dokończ zdanie tak, aby otrzymać zdanie prawdziwe. Trójkąt ten jest",3,równoboczny.,równoramienny.,rozwartokątny.,prostokątny.,3,
